,recommended 0,recommended 1,recommended 2,recommended 3,recommended 4
MMM,AME,EMR,HON,ITW,PH
ABT,BDX,BSX,DHR,SYK,TMO
ABBV,ABT,AMGN,GILD,INTC,PFE
ABMD,ALGN,EW,IDXX,ISRG,CRM
ACN,MA,MSFT,PAYX,SPGI,V
ATVI,GOOGL,GOOG,EA,MSFT,TTWO
ADBE,MA,MSFT,CRM,NOW,V
AMD,AMAT,LRCX,MCHP,MU,NVDA
AAP,AZO,GPC,ORLY,ROST,TSCO
AES,AEE,AWK,EXC,PNW,XEL
AFL,BRK-B,CB,GL,HON,L
A,DHR,MTD,PKI,TMO,WAT
APD,AME,ECL,HON,LIN,ROP
AKAM,ANSS,GPN,INTU,SPGI,SNPS
ALK,AAL,AMP,DAL,LUV,UAL
ALB,CE,EMN,FMC,LYB,PH
ARE,AIV,AVB,BXP,EQR,UDR
ALXN,GILD,ILMN,INCY,REGN,VRTX
ALGN,ABMD,ADBE,AMZN,ISRG,NOW
ALLE,AME,HON,ITW,IR,ROP
AGN,ABC,AMGN,CAH,GILD,MYL
ADS,COF,DFS,LNC,PRU,SYF
LNT,AEE,AEP,CMS,WEC,XEL
ALL,GL,HIG,L,PGR,TRV
GOOGL,GOOG,AMZN,MA,MSFT,V
GOOG,GOOGL,AMZN,MA,MSFT,V
MO,CL,KMB,PEP,PM,PG
AMZN,ADBE,GOOGL,GOOG,MA,MSFT
AMCR,CMI,EMN,ETN,SWK,XYL
AEE,LNT,CMS,DTE,WEC,XEL
AAL,ALK,AMP,DAL,LUV,UAL
AEP,LNT,CMS,ED,WEC,XEL
AXP,BRK-B,COF,DFS,GL,JPM
AIG,GL,L,MET,PFG,PRU
AMT,CCI,O,SBAC,UDR,WELL
AWK,LNT,AEP,CMS,WEC,XEL
AMP,LNC,PFG,PRU,RJF,UNM
ABC,CAH,CVS,HOLX,MCK,WBA
AME,ETN,EMR,IEX,PH,ROP
AMGN,ABT,DHR,GILD,MRK,PFE
APH,AME,GLW,FTV,HON,TEL
ADI,KLAC,MXIM,MCHP,SWKS,TXN
ANSS,ADBE,MA,MSFT,CRM,SNPS
ANTM,CNC,CI,HUM,UNH,WCG
AON,AJG,BRK-B,CB,MMC,WLTW
AOS,EMN,FBHS,MAS,PH,SWK
APA,XEC,DVN,EOG,HES,MRO
AIV,AVB,EQR,ESS,MAA,UDR
AAPL,GOOGL,GOOG,AMZN,MA,MSFT
AMAT,ADI,KLAC,LRCX,MCHP,TXN
APTV,BWA,EMN,GM,LNC,PH
ADM,BLK,C,JPM,L,PRU
ARNC,AMP,LNC,MS,SWK,URI
ANET,AMZN,ADSK,NVDA,CRM,NOW
AJG,AON,CB,GL,MMC,WLTW
AIZ,GL,HIG,L,PRU,TRV
ATO,LNT,AEE,CMS,WEC,XEL
T,BRK-B,CMCSA,GL,PRU,VZ
ADSK,ADBE,ANSS,MA,CRM,NOW
ADP,FISV,INTU,MA,MSFT,PAYX
AZO,AAP,GPC,ORLY,ROST,TSCO
AVB,AIV,EQR,ESS,MAA,UDR
AVY,MMM,AME,HON,ITW,PKG
BKR,DVN,HAL,NOV,SLB,FTI
BLL,APD,ECL,SHW,VRSK,ZTS
BAC,C,GS,JPM,MS,RF
BK,BAC,JPM,NTRS,STT,TFC
BAX,ABT,BDX,DHR,SYK,TMO
BDX,ABT,BAX,DHR,SYK,TMO
BRK-B,AXP,BLK,GL,JPM,L
BBY,GPS,KSS,JWN,ROST,TJX
BIIB,ALXN,AMGN,GILD,REGN,VRTX
BLK,AMP,BRK-B,BEN,PRU,TROW
BA,CAT,DE,PH,ROP,UTX
BKNG,GOOGL,GOOG,EXPE,MSFT,V
BWA,AMP,APTV,EMN,PH,PRU
BXP,ARE,AVB,FRT,SLG,VNO
BSX,ABT,BDX,DHR,ISRG,TMO
BMY,ABBV,AMGN,LLY,PFE,ZTS
AVGO,ADI,AMAT,MCHP,SWKS,TXN
BR,ACN,INTU,MA,MSFT,V
BF-B,ADP,KO,FISV,PAYX,VRSK
CHRW,EXPD,FDX,JBHT,ODFL,PCAR
COG,CXO,DVN,FANG,EOG,WMB
CDNS,ADBE,ANSS,MA,MSFT,SNPS
CPB,CAG,GIS,HRL,SJM,K
COF,BAC,DFS,JPM,LNC,MS
CPRI,JWN,PVH,RL,TPR,VFC
CAH,ABC,CVS,HSIC,MCK,WBA
KMX,COF,DFS,IVZ,LNC,TROW
CCL,AMP,HLT,MAR,NCLH,RCL
CAT,CMI,DE,ETN,EMR,PH
CBOE,AON,AJG,CME,ICE,NDAQ
CBRE,AME,BLK,EMN,IEX,TROW
CDW,APH,ANSS,AAPL,MA,MSFT
CE,EMN,LNC,LYB,PH,PPG
CNC,ANTM,CI,HCA,UNH,WCG
CNP,LNT,AEE,ATO,DTE,XEL
CTL,T,DISCA,DISCK,FLS,IVZ
CERN,BSX,HOLX,ISRG,SNPS,TMO
CF,EMN,LYB,MOS,PH,URI
SCHW,BAC,CMA,ETFC,MS,RJF
CHTR,ALLE,CMCSA,DISH,NOW,DIS
CVX,COP,XOM,KMI,PSX,SLB
CMG,KIM,ORLY,ROST,SBUX,TSCO
CB,CINF,HIG,L,TRV,WRB
CHD,CLX,CL,KMB,MKC,PG
CI,ANTM,CNC,HUM,UNH,WCG
XEC,CXO,DVN,FANG,EOG,PXD
CINF,AJG,CB,GL,TRV,WRB
CTAS,ACN,MSFT,MCO,PAYX,V
CSCO,APH,MA,MSFT,SNPS,V
C,BAC,GS,JPM,MS,PRU
CFG,CMA,HBAN,KEY,RF,ZION
CTXS,FFIV,MA,MSFT,CRM,V
CLX,CHD,CL,KMB,PEP,PG
CME,BRK-B,CBOE,ICE,NDAQ,SPGI
CMS,LNT,AEP,DTE,WEC,XEL
KO,CL,MDLZ,PEP,PG,WM
CTSH,ACN,GOOG,MA,MSFT,V
CL,CHD,CLX,KMB,PEP,PG
CMCSA,CHTR,DFS,GL,VIAC,DIS
CMA,CFG,HBAN,KEY,RF,ZION
CAG,CPB,GIS,SJM,K,MDLZ
CXO,XEC,DVN,FANG,EOG,PXD
COP,DVN,EOG,HAL,HES,MRO
ED,LNT,AEP,CMS,WEC,XEL
STZ,BF-B,MA,MSFT,TAP,V
COO,ABT,BSX,MTD,SYK,TMO
CPRT,AME,ANSS,IEX,INTU,MSFT
GLW,APH,EMN,ITW,ROK,TEL
COST,BRK-B,HD,MSFT,WMT,WBA
COTY,DXC,EA,EL,FBHS,TPR
CCI,AMT,DLR,O,SBAC,WELL
CSX,CAT,EMR,NSC,TXT,UNP
CMI,CAT,ETN,EMR,PCAR,PH
CVS,ABC,CAH,MCK,UNH,WBA
